,sentence,category_targets
2450,"В ПСБ реакция вполне адекватная, я бы сказал так, выдержанно-позитивная, как и должно быть в серьезном публичном заведении.",0
2451,И сегодня капля моего терпения лопнула!!,0
2454,У них там потрясающая командная работа и все прям полностью включены в процесс - молодцы.,2
2457,Абсолютно хамское и наплевательское отношение к клиентам!,2
2458,Отличные консультанты и удобство оформления!,2
2459,"Нежелание работать, вникать в суть вопроса, непонимание вообще ситуации - это не обслуживание.",2
2460,"Я решил попробовать, потому что люблю мобильность, а предыдущий банк, в котором я обслуживался, предполагал ежемесячную бумажную волокиту с обязательным посещением отделения банка, что ограничивало меня в планировании поездок и отнимало много времени.",2
2461,Не перезванивают и не вникают в суть проблемы.,0
2464,"Мне не повезло и вместо трех минут, которые я планировал провести 30.01.2017 года у банкомата № 10179058 в городе Одинцово по улице Маковского 16, я потратил несколько важных часов понедельника и видимо потрачу кучу нервных клеток, причем перспективы совсем не радужные.",0
2465,"Не скажу что супер сервис, хотя я премиальный клиент, скорее больше привычка.",2
2466,"Большое ""СПАСИБО"" банку за заботу о клиентах, а главное, что помогают ""экономить"" время и деньги клиентов!",0
2468,"Ранее уже были проблемы со Сбербанком но не такие,сейчас это уже хамство.",0
2471,"Сейчас увидел рекламу Совком Банка по телевизору, как обходительно они относятся к пожилым людям и перед глазами пронеслась увиденная в этом банке картина - Ужас!",2
2472,"Никакого письма из банка, никакого смс уведомления, ни звонка от менеджера о том, что такие драконовские комиссии появились - НИЧЕГО!",0
2473,"Нам всегда очень приятно пользоваться услугами данного банка, а когда царит атмосфера открытости и готовности помочь, это еще больше радует.",0
2475,"А её руководитель В-льева Т. В., которой мысли вовремя в голову не приходят и которая вводит клиента в заблуждение и причем не один раз, покрывает своего сотрудника.",0
2477,Благодарю за такой подход к людям!,0
2478,(а еще все дали справки без проблем - законы соблюдают.,4
2479,"По настоянию работодателя являюсь многолетним клентом ВТБ, в течение которых банк никогда не упускал возможности поиздеваться бесконечными звонками со ""специальными предложениями"".",0
2479,"По настоянию работодателя являюсь многолетним клентом ВТБ, в течение которых банк никогда не упускал возможности поиздеваться бесконечными звонками со ""специальными предложениями"".",2
2482,Сотрудник ваш ее выкинуть предлагал!,0
2483,"Как минус отмечу отсутствие банкоматов с функцией приема денег и их небольшое количество в Санкт-Петербурге (как правило, они не круглосуточные, доступ только в часы работы магазинов).",2
2484,Какой-то сплошной круговорот лживых слов.,0
2485,Рекомендую работать с Тинькофф Банком.,2
2492,Хочется отметить быструю и профессиональную работу сотрудников данного офиса.,0
2494,"В общем, кто ещё думает, советую, хороший банк без офисов и прочей головной боли.",2
2495,От интерьера и удобного расположения до отличного отношения к клиентам.,2
2495,От интерьера и удобного расположения до отличного отношения к клиентам.,0
2496,"Это просто безобразие, хамское обращение с клиентами такого я не видела не в одном банке.",0
2498,Терминалы банкоматов запрограммированы ужасно.,2
2499,"Все доходчиво рассказал, объяснил, помог загрузить приложение.",0
2501,"примерно в 22:55 ""съел"" средства в размере 60 000 руб. (12 купюр по 5 тыс.), не зачислил их на карту и не вернул, квитанцию не выдал.",2
2502,"Как ещё этот беспредел пресекать, я и так потратила много сил и нервов на общение с представителями банка.",0
2509,Сколько лет пользуюсь этим банком - столько же лет перманентно сталкиваюсь с проблемами обслуживания и некомпетентностью!,2
2510,"Именно это - лакмусовая бумажка любого банка, потому как принимать и забирать наши с вами деньги любой сможет, а вот нести ответственность за них и оперативно решать свои ошибки и наши с вами возникшие вопросы, сможет только хороший порядочный банк.",2
2511,"Срочно требовалась гарантия  на участие в закупках,  обратились в банк  ВТБ где открыт расчетный счет (Дополнительный офис ""Центральный"" в г. Сочи)  главный  менеджер, Чехонина Юлия Юрьевна и сотрудники отдела все сделали быстро и четко.",0
2512,"Но бескомпромиссно отказываться от обсуждения проблемы, как это случилось вчера, это меня просто угнетает!",0
2514,"В итоге после полутора месяцев хождений и звонков в банк мне ответили что закладную не вернули , на мои вопросы почему и когда вернут и что делать дали ответ НЕ ЗНАЕМ !",2
2515,Спасибо за профессиональное обслуживание!,2
2517,"А еще безобразные консультанты в колл-центре, которые вообще ничего не знают, все говорят по-разному, только путают и вводят в заблуждение!",0
2518,"Обращался за кредитов 5 числа этого месяца, мне делали голову, все это время, кормили завтраками и старались сделать крайним меня, а не своих сотрудников, переписка была в чате, так де я звонил, рассчитывая на этот банк, я не обращался в другие, некомпетентность Ваших сотрудников, привела к ситуации, когда я теперь не могу ни доверять банку, ни сотрудничать с ним, так как он ставит своими действиями(сотрудников) в ситуации когда люди имеют потом проблемы!",2
2520,"То они мне говорили про безопасность моих средств, а теперь уже сомнительные операции!",4
2521,Ценю Росбанк за оперативность в выполнении запросов.,0
2522,"Благодаря таким сотрудникам как она, рекомендую и продолжу рекомендовать Ваш банк всем друзьям и знакомым !",0
2524,"Очень приятно, что в Тинькофф Банке работают такие квалифицированные сотрудники.",2
2525,"Обдумав полученную информацию , поговорив с близкими я решил что это вполне приемлемый вариант и решил 31.08.2018 приехать в отделение по улице Балтийская для оформления кредита по программе ""Кредитная помощь"".",0
2527,"Как такая могущественная структура как служба безопасности холдинга МТС не смогла идентифицировать такой паспорт как поддельный, еще один огромный вопрос.13 декабря 2013 года, желая получить информацию о продвижении рассмотрения данного вопроса, я написал электронное сообщение в Ваш банк МТС, ответ на которое (15.12.2013) меня просто ошеломил.",4
2531,Хочу ПОБЛАГОДАРИТЬ СОТРУДНИКА СИТИБАНКА ОЛЬГУ за ее отношение к своей работе и отношение к клиентам.,2
2533,"Мало того испортили кредитную историю и кредитный рейтинг, так ещё за это я платить должна!",2
2535,На горячей линии вообще не консультируют по таким проблемам.,0
2536,"Сотрудники в дополнительных офисах приветливые, коммуникабельные.",0
2538,Пишут на сайте про рефинансирование - тоже красиво.,0
2539,очень странное обращение с клиентом.,0
2541,"Ужасный банк, сотрудники обманывают клиентов предоставляя недостоверные данные о продуктах, которые предлагают.",0
2542,"Имея несколько карт и кредитов, я периодически просматриваю свою кредитную историю, тем более, что стоит это всего 1 т.р. Еще один огромный плюс этому банку - индивидуальный подход, предельно вежливые и компетентные сотрудники.",0
2542,"Имея несколько карт и кредитов, я периодически просматриваю свою кредитную историю, тем более, что стоит это всего 1 т.р. Еще один огромный плюс этому банку - индивидуальный подход, предельно вежливые и компетентные сотрудники.",3
2543,"Сегодня еще раз звоню в банк, приходит ответ. ВАМ одобрено снижение % ставки, только с рефинансированием и только с  в 200тр , к основному долгу!",3
2544,"В общем, по пятибалльной я бы 4 твердую поставил бы, но конкретно по корпоративному обслуживанию и конкретно БЦ Новинский бульвар.",2
2545,"Но самое отвратительное, это глубокая лужа на полу, прямо в помещении банка.",2
2546,"У меня есть карточки в Сбербанке, Альфе и Тинькове, с таким беспределом и низкой квалификацией персонала я еще нигде не сталкивалась.",2
2548,"Работают быстро, общаются культурно.",2
2549,Сотрудникам офиса на Пр. Ленина 37 так держать!,0
2550,Звоню на горячий телефон ДомКлик - никто не отвечает!,0
2555,"Спасибо огромное всем сотрудникам банка Таврический,я с удовольствием буду вас рекомендовать,вы огромные молодцы,и я рада что всё таки в банках есть еще сотрудники нацеленные на результат!!",0
2558,"Весь месяц сотрудники кредитного отдела Отделения «Преображенская площадь» халатно относились к моему вопросу, что говорит об их непрофессионализме!",2
2559,"Подводя итог, за месяц общения с этим банком ни одна проблема не решена, любое обращение - это лишь потраченное время, информация постоянно меняется, сотрудники некомпетентны, ответственность за доставленные клиенту неудобства банк на себя не берет, перекладывает решение проблем на партнеров (страховая) или на клиента.",2
2560,"Хотим выразить огромную благодарность банку Тинькофф и конкретно нашему менеджеру Ибрагимову Ильнуру за его терпение, профессионализм и интеллигентность.",2
2560,"Хотим выразить огромную благодарность банку Тинькофф и конкретно нашему менеджеру Ибрагимову Ильнуру за его терпение, профессионализм и интеллигентность.",0
2561,"В итоге, через месяц нам отказывают, ладно в сроки не уложились, т.к. по регламенту банка заявка должна рассматриваться в течение 10 дней, так еще и отношение хамское.",2
2561,"В итоге, через месяц нам отказывают, ладно в сроки не уложились, т.к. по регламенту банка заявка должна рассматриваться в течение 10 дней, так еще и отношение хамское.",0
2562,"Самое неприятно заключается в том, что очень часто не работают сразу два банкомата.",2
2563,"Ну, вроде, благое намерение, можно даже сказать - нужное.",2
2564,"Наихудший банк по отношению к клиентам, когда у тебя просрочка по ипотеке на 1 день, звонят целый день, погасил ипотеку, нужно снять обременение, так все, ты им не интересен, твои вопросом никто не занимается.",2
2565,"В силу благоприобретенной привычки пошел в Сбер, оформил карту (понравилось, что бесплатная  - ""Моментум"", правда, активация через 1 сутки, но мне было не критично).",3
2566,Видна явная положительная тенденция к улучшению работы с клиентами.P.S.,0
2570,"Покупал весной квартиру у юр. лица, деньги надо было перевести на их р/сч, очень удобно - постепенно собрал сумму на карточном счете, потом перевел, пока собирал прошел месяц, банк начислил проценты 26 тыс. За перевод взяли всего 500 руб. Безопасно и выгодно.",2
2571,"Сейчас сотрудники офиса Сбера просто разводят руками и открыто говорят, что не знают как решить сложившуюся ситуацию.",0
2572,"Получают от же ответ. Подписание Дог фактически и технически: Виолетта 04.02 сказала, что была смс со ссылкой на полный Дог, его нужно было читать в телефоне.",0
2573,"Меня не пускают, старший специалист Р-а И. Е., отказывается выслушать вообще!",0
2574,"В офисе банка я написал претензию, но ответа так и не получил, может здесь мне ответит компетентный представитель данного банка на вопросы: Почему у вас работает такой персонал, который вводит в заблуждение, дает не верную информацию по картам?",0
2575,"1) Считаю Банк не уведомил меня своевременно об условиях акции, в результате чего обманул меня как потребителя.2) Прошу отменить абонентскую плату по моей карте в соответствии с условиями ""48 месяцев бесплатно"", озвученными на сайте на момент заказа.3) В ином случае, рассмотреть возможность изменения лозунга банка на ""Банк Открытие.",0
2576,"Люди СПб, не вносите деньги через банкоматы ""Сбербанк"", иначе может возникнуть проблема как у меня... В Новый год - это очень неприятно и обидно... Расстроена.",2
2577,"Обращался на линию со всеми проблемами, прождал 5-7 дней - пришли СМСки, что всё ок!",0
2578,"Что вообще происходит, почему в такое сложное время банки задерживают переводы.",2
2579,"Я лишился доступа ко всем своим деньгам (карту в Сбербанк онлайне теперь тоже не видно, она заблокирована), а так же мне не перечислят пенсию ребенка СЕГОДНЯ!",2
2581,"Этот сотрудник - Ш-н СЕРГЕЙ мало того, что опоздал на означенное время на 10 минут приёма (11 часов), повёл просто себя по-хамски.",0
2581,"Этот сотрудник - Ш-н СЕРГЕЙ мало того, что опоздал на означенное время на 10 минут приёма (11 часов), повёл просто себя по-хамски.",2
2583,"Уже повторно, при обращении в это отделение, я сталкиваюсь с некомпетентностью и хамством сотрудников.",0
2584,"25.05.2019 сын улетал в США и предварительно зашёл в отделение банка, узнать, не требуется ли провести каких-то действий для того чтобы карта работала в ""роуминге"" (уже имелся прецендент): ""ничего не надо, всё прекрасно, наш передовой банк...., мы всегда заботимся о клиенте...., бла-бла-бла!""",0
2586,"в итоге внятного ответа не получает (как всегда с ОТП), говорит мне что надо заплатить еще 5 тысяч видимо, которые взялись с потолка!",0
2588,"Огромное спасибо девушке из офиса на Янгеля, оч выручила!",0
2590,"При начале просмотра условий кредита на первом экране мобильного приложения (где видно сумму кредита) приложение зависло, начало перезагружаться (появился экран с 2 двигающимися квадратами), после чего появилось всплывающее сообщение о том, что кредит оформить невозможно.",2
2591,"Вины моей нет в том, что ваши банкоматы не могут обеспечить бесперебойную работ, а менеджеры не могут оказать консультацию, а общаются как с идиоткой!",2
2593,"за операцию по снятию наличных в банкомате ОАО АКБ ""ЮГРА"" удержаны на основании данных поступивших от оборудования в котором проводились указанные Вами транзакции (банкомата ПАО АКБ ""РОСБАНК"" и банкомата ОАО АКБ ""ЮГРА"").",2
2594,"прекрасный банк,к клиентам относятся подобающе на обращение ответили быстро!",2
2596,"Система ""ЛОКО - Online"" очень информативная, мне очень понравилась,можно  посмотреть график выплаты процентов, всю  информацию  по открытому  вкладу, дебетовой  карте, счету.",2
2601,"За нами закрепили неопытную, абсолютно не умеющую разговаривать с людьми сотрудницу (у вас же идёт запись разговоров?!",0
2602,А работникам банка большая благодарность!,2
2603,"Таким образом, по всем стадиям оформления карты ставлю Бинбанку плюсы (но, конечно, хотелось бы скорейшего устранения неполадок с интернет-банком).",0
2606,"Обратная связь с банкои отвратительная, там мне в первый раз сказали, что составят обращение, а во второй раз сказали звоните в магазин, больше мы вам ничем помочь не можем.",0
2607,"Заказал такую родителям, они в восторге.",2
2608,"Учитывая, что банки (и Открытие, и Тинькоф) видят все, что происходит, я, честно, не могу понять, почему банки не могут сами разобраться с произошедшим техническим сбоем.",2
2610,"Более того, текст ответа содержал какие-то непонятные символы и был составлен абсолютно безграмотно.",0
2612,"Я не молода,но в отделение банка меня научили оплачивать коммунальные платежи через приложение и в сложный период самоизоляции мне это очень понравилось.",2
2613,"Договор читать не даём, он в компе в электронном виде... Естественно всё желание сотрудничества с данным банком пропало тут же напрочь.",0
2615,"БанкХочу оставить отзыв о банке ВТБ, т.к. очень доволен обслуживанием и условиями работы данного банка.",2
2616,Открытая неприязнь к клиентам и абсолютное нежелание работать.,0
2616,Открытая неприязнь к клиентам и абсолютное нежелание работать.,2
2620,"Всегда в любое время дня и ночи помогут, ответят, решат.",2
2621,"Отправка валютного перевода в Евро на счет в Германии - удивительно быстро, на счет в Commerzbank перевод пришел за несколько часов.",2
2622,"Отсутствует какой-либо рабочий способ связи со специалистами, владеющими информацией... приходится писать гневные отзывы(",0
2624,"Ужасное отношение к потенциальным клиентам, со стороны этого банка.",0
2627,"Во-первых, удобно расположено отделение для меня, затем интересные условия по дебетовым картам да и еще нет-нет без всяких нудных накопительных счетов еще и % на остаток каждый месяц падает, которые вполне и годовое обслуживание окупит да еще и что-нибудь останется.",2
2627,"Во-первых, удобно расположено отделение для меня, затем интересные условия по дебетовым картам да и еще нет-нет без всяких нудных накопительных счетов еще и % на остаток каждый месяц падает, которые вполне и годовое обслуживание окупит да еще и что-нибудь останется.",3
2628,Сразу хочу отметить высокий профессионализм сотрудников банка!,2
2628,Сразу хочу отметить высокий профессионализм сотрудников банка!,0
2632,Клиентоориентированости никакой!!!!,0
2633,Введите обучение для стажеров качественное!,0
2634,Ответ я получил просто фееричный - у нас нет телефона этого офиса и соединить мы не можем.,0
2638,"Обращаясь в ГПБ как-то чувствуешь себя спокойно, работники участвуют в твоей ситуации, а не просто реклама и спам, которыми кое-кто просто заваливает и на деле - одна головная боль.",0
2639,"Ужасное обслуживание, ужасное условие.",0
2641,"Но каждый раз сотрудники, некомпетентные в данном вопросе, соединялись меня с разными специалистами отдела ипотеки и др отделами , которые просто отвечали, что отправляют запросы каким-то руководителям  и не знают почему произошла задержка в выдаче документа.",2
2641,"Но каждый раз сотрудники, некомпетентные в данном вопросе, соединялись меня с разными специалистами отдела ипотеки и др отделами , которые просто отвечали, что отправляют запросы каким-то руководителям  и не знают почему произошла задержка в выдаче документа.",0
2642,Очень недоволен обслуживанием банка!,0
2643,Если это превращается в квест и унижения для клиента!,0
2644,"А банкомат не дает денег, потом выясняется, что у ТКС проблемы глобальные, не работает все.",2
2645,Денежные средства (пеню) не вернули!,2
2646,"Это просто беспредел, ужасный банк.",2
2647,"ст 17 закона РФ ""Об ипотеке (залоге недвижимости) Залогодержатель по исполнении обеспеченного ипотекой обязательства полностью обязан незамедлительно передать закладную залогодателю с отметкой об исполнении обязательства в полном объеме.",2
2649,Я не хочу за свои деньги (я плачу за мобильный банк) получать и видеть каждый раз ваш шлак на полэкрана!,2
2650,Данное отделение никому не посоветую сотрудники верх некомпетентности.,0
2651,Это не честно и подло по отношению к добросовестным заёмщиках у которых месячная зарплата составляет 25.000 тыс.руб.,2
2652,"После визита в офис осталось крайне приятное впечатление, не навязчивый сервис.",2
2654,Меня обслужили очень быстро и профессионально.,0
2655,Моя эпопея с некомпетентными сотрудниками тех поддержки.,0
2657,"Оператор Call центра достаточно вежливо сказала, что моя заявка принята, в подтверждение чего мне отправили смс сообщение о времени и месте, когда банк будет рад меня видеть!",0
2661,"Вы там этих глухих вредителей специально набираете, чтобы мы к вам в офисы почаще заглядывали, стояли в диких очередях и писали негатив на сервис?",2
2662,"Это было для нее открытием, как, в общем, и все остальное, что касается реализации Банковского продукта ""Кредитная карта"", как выяснится в процессе оформления оной.",2
2663,"Она просто нагрубила, развернулась и ушла, так и не вышла к нам больше.",0
2665,Радость от покупки этот банк нам испортил потому что не предупредив самовольно ввел условие на снятие наличных с удержанием 5%.,3
2667,"Оказалось, что очень удобная карта и выгодная.",2
2667,"Оказалось, что очень удобная карта и выгодная.",3
2669,"Моё мнение о сотрудниках: ипотечный менеджер Б-ва К.: совершенно неклиентоориентированна, во многих вопросах не компетентна, в клиенте совершенно не заинтересована.",2
2671,"Так же всем кто ждет помощи от Начальника департамента качества Среднерусского банка Ко-вой А. М и пытается ей или её сотрудникам дозвониться, а слушают один автоответчик заявляю Царица Ко-ва А. М с быдлом не общается ей просто в лень, за 3 месяца я так не ей не её сотрудникам не дозвонился, а знаете почему?",0
2672,"Особенно неприятно то, что позвонили и попросили прийти забрать, как бы выписку, а сунули отказ.",2
2673,"Полагаю, во многом в этом заслуга банка как структуры, эффективной и внимательной к работающим в ней людям.",2
2673,"Полагаю, во многом в этом заслуга банка как структуры, эффективной и внимательной к работающим в ней людям.",0
2675,"Моя жена сказала, что это в 10км от пос. Чагоды и наше отделение совсем не там!",2
2676,"Представилась вежливо, как надо.",0
2677,Однако столкнулся с крайне плохим отношением банка к своим клиентам.,0
2679,"Даже не хочется думать какие препоны нас ждут при решении этого вопроса, раз на уровне рядовых специалистов мы встречаем откровенное безразличие, халатность, затягивание решения вопросов а, возможно, и конкретную установку от руководства банка всячески игнорировать законные просьбы клиентов на распоряжение средствами мат.капитала.",0
2680,"С наилучшими пожеланиями, за грамотную и без путаниц помощь в закрытии и в дальнейшем открытии двух вкладов, всё наше недопонимание и вопросы с нашей стороны, такие как выписки доверенностей, завещательного распоряжения и т.д., были быстро решены, с улыбкой на лице и, как нам показалось, достаточно быстро.",0
2682,"Сидя на колючих диванах этого ""супер-пупер"" офиса я наслаждался каналом РБК, искусственным венком на столе и давнишним номером (по-моему, апрельским) Forbes.",2
2683,"Ну, как всегда, все понемногу «русифицируется» и сейчас поддержка отвечает круглосуточно только по наиболее важным вопросам, и иногда уже надо ждать очередь.",0
2686,Почему такое надувательство происходит в этом банке?,0
2688,"Обман, обсчет, отказ в обслуживании клиентов и прочие гадости - это уже фирменный стиль работы этого финансового института.",2
2689,Дмитрий отвечал оперативно и развернуто на все поставленные вопросы.,0
2690,"Подтвердили, что все нормально, нужная сумма заказана, с паспортом - добро пожаловать.",0
2692,"Выстоял очередь, попросил выдать мне мои денежки и получил полный отлуп - валюты нет и не будет Никакие доводы, просьбы и угрозы на Елену Алексеевну (начальник отдела по работе с клиентами) не действовали.",2
2693,"Спасибо за работу, пока лучший сервис, самые грамотные специалисты и только хорошие впечатления!!",0
2695,"Все, GAME OVER, квест провален, миссия оказалась невыполнима.",2
2696,"Есть возможность звонка онлайн, что вообще очень радует лично меня.",0
2698,"Всегда вежливые и компетентные сотрудники, всегда лучшие инструменты для бизнеса.",0
2701,"На требования вернуть разницу в комиссии, либо предоставить возможность удаленно перевыпустить карту банк не отвечает, хотя обещали ответить до 31/08, ни обещанного звонка, ни хотя бы ответа в личный кабинет нет.",0
2702,Вышла оттуда в таком состоянии... Разочарование полнейшее.,0
2703,"Добрый день.16 августа я купил билеты через Тинькофф тревел на сумму 37 360,68 р., в тот момент была акция (спецпредложение) до 10% кэшбэка за подобные покупки, насколько помню.",3
2704,"А теперь поподробнее: Отделение на Соколе, сотрудник И-на Наталья - полностью некомпетентный сотрудник, не считает нужным общаться с клиентами, не берет трубки ни мобильного, ни стационарного телефонов, не отвечает на письма.",0
2705,По факту выходит обманом продали симку которая уже давно отправилась в мусорку.,0
2706,Самое  интересное что и на него никто не ответит!,0
2707,Приложение от сбербанка удобнее по всем параметрам.,2
2709,"Я обратилась на горячую линию, где мне принесли только извинения, и сообщили, что никак не могут повлиять на данную ситуацию!",0
2710,"Оператор, не сумев решить вопрос, перевел на специалиста по имени Максим, который говорил со мной крайне недружественно, как с недоразвитой!",0
2713,"При обращении за получением наличных (30 мая около 17 часов вечера) в отделение «Романов двор» я уточнил сроки инкассации пластиковых карт и мне сообщили, что этот срок может составить до 10 рабочих дней.",0
2717,"После подобных хамских выпадов он стал высказывать оскорбления о том, что меня не так воспитали мои родители и прочие заведомо ложные оскорбительные сентенции.",0
2718,"При выдаче банк отработал как часы, впрочем как всегда.",2
2721,"Товарищи, прошло уже, на секундочку, 11 рабочих дней с момента моего первичного обращения в отделение Ситибанка, где я хотела оформить такую простую и элементарную операцию, как открытие счета и получение карты.",0
2722,Трубку не берет и не перезванивает.,0
2724,"Полное, тотальное отсутствие информации об условиях и тарифах обслуживания выданных мне карт, статусов счетов.",0
2726,"Но 21.11.11 Интернет банк работал просто плохо, на сайте банка висело предупреждение о нестабильной его работе.",2
2729,"Хочу обратить ваше внимание на отвратительное обслуживание в отделениях Банка, в частности на скорость обслуживания клиентов в городе Санкт-Петербурге.",2
2733,Лист бумаги с криво приляпанным сканом подписи и так же криво приляпанным сканом печати!!,2
2734,На каждом шагу обман и вымогательство денег!,0
2735,"!в итоге даже не извинились,долго искали карту,отказывались распечатывать реквизиты карты.. По факту в этом отделении была дважды,и все время одна история!!",0
2736,"Отвратительный банк, отвратительные сотрудники, отвратительные все!!",0
2737,"в итоге: в отделении и на горячей линии все отвечают разную информацию, сотрудники некомпетентные и что меня ждёт дальше-просто неизвестно!",0
2738,Call-центр адекватный и компетентный.,0
2739,Редко встретишь такое доброжелательное и терпеливое отношение от персонала.,0
2743,При этом крайне негативное отношение кассиров и явное нежелание работать.,2
2744,"Со времени прошлого отзыва с оценкой несколько раз перевыпускал карты: всегда всё четко, вовремя, корректно.",2
2745,"Мы с ним быстро нашли точки соприкосновения и решили проблему на ура ,теперь меня больше ничего не тревожит и готов пользоваться услугами банка на все 100%.",2
2745,"Мы с ним быстро нашли точки соприкосновения и решили проблему на ура ,теперь меня больше ничего не тревожит и готов пользоваться услугами банка на все 100%.",0
2747,"Сотрудники постоянно вводят в заблуждение, не предупреждают о последствиях, более того, еще и врут!",0
